ICD10code,list_disease_real,disease_duration
H91.8,Hearing loss,9999999
H91.9,Hearing loss,9999999
H91,Hearing loss,9999999
Z45.3,Hearing loss,9999999
Z46.1,Hearing loss,9999999
Z97.4,Hearing loss,9999999
I11.0,Heart failure,9999999
I13.0,Heart failure,9999999
I13.2,Heart failure,9999999
I50.0,Heart failure,9999999
I50.1,Heart failure,9999999
I50.2,Heart failure,9999999
I50.3,Heart failure,9999999
I50.4,Heart failure,9999999
I50.5,Heart failure,9999999
I50.6,Heart failure,9999999
I50.7,Heart failure,9999999
I50.8,Heart failure,9999999
I50.9,Heart failure,9999999
I50,Heart failure,9999999
C81.0,Other cancer,1826.25
C81.1,Other cancer,1826.25
C81.2,Other cancer,1826.25
C81.3,Other cancer,1826.25
C81.4,Other cancer,1826.25
C81.5,Other cancer,1826.25
C81.6,Other cancer,1826.25
C81.7,Other cancer,1826.25
C81.8,Other cancer,1826.25
C81.9,Other cancer,1826.25
C81,Other cancer,1826.25
C91.0,Other cancer,1826.25
C91.1,Other cancer,1826.25
C91.2,Other cancer,1826.25
C91.3,Other cancer,1826.25
C91.4,Other cancer,1826.25
C91.5,Other cancer,1826.25
C91.6,Other cancer,1826.25
C91.7,Other cancer,1826.25
C91.8,Other cancer,1826.25
C91.9,Other cancer,1826.25
C91,Other cancer,1826.25
C92.0,Other cancer,1826.25
C92.1,Other cancer,1826.25
C92.2,Other cancer,1826.25
C92.3,Other cancer,1826.25
C92.4,Other cancer,1826.25
C92.5,Other cancer,1826.25
C92.6,Other cancer,1826.25
C92.7,Other cancer,1826.25
C92.8,Other cancer,1826.25
C92.9,Other cancer,1826.25
C92,Other cancer,1826.25
C93.0,Other cancer,1826.25
C93.1,Other cancer,1826.25
C93.2,Other cancer,1826.25
C93.3,Other cancer,1826.25
C93.4,Other cancer,1826.25
C93.5,Other cancer,1826.25
C93.6,Other cancer,1826.25
C93.7,Other cancer,1826.25
C93.8,Other cancer,1826.25
C93.9,Other cancer,1826.25
C93,Other cancer,1826.25
C94.0,Other cancer,1826.25
C94.1,Other cancer,1826.25
C94.2,Other cancer,1826.25
C94.3,Other cancer,1826.25
C94.4,Other cancer,1826.25
C94.5,Other cancer,1826.25
C94.6,Other cancer,1826.25
C94.7,Other cancer,1826.25
C94.8,Other cancer,1826.25
C94.9,Other cancer,1826.25
C94,Other cancer,1826.25
C95.0,Other cancer,1826.25
C95.1,Other cancer,1826.25
C95.2,Other cancer,1826.25
C95.3,Other cancer,1826.25
C95.4,Other cancer,1826.25
C95.5,Other cancer,1826.25
C95.6,Other cancer,1826.25
C95.7,Other cancer,1826.25
C95.8,Other cancer,1826.25
C95.9,Other cancer,1826.25
C95,Other cancer,1826.25
C82.0,Other cancer,1826.25
C82.1,Other cancer,1826.25
C82.2,Other cancer,1826.25
C82.3,Other cancer,1826.25
C82.4,Other cancer,1826.25
C82.5,Other cancer,1826.25
C82.6,Other cancer,1826.25
C82.7,Other cancer,1826.25
C82.8,Other cancer,1826.25
C82.9,Other cancer,1826.25
C82,Other cancer,1826.25
C83.0,Other cancer,1826.25
C83.1,Other cancer,1826.25
C83.2,Other cancer,1826.25
C83.3,Other cancer,1826.25
C83.4,Other cancer,1826.25
C83.5,Other cancer,1826.25
C83.6,Other cancer,1826.25
C83.7,Other cancer,1826.25
C83.8,Other cancer,1826.25
C83.9,Other cancer,1826.25
C83,Other cancer,1826.25
C84.0,Other cancer,1826.25
C84.1,Other cancer,1826.25
C84.2,Other cancer,1826.25
C84.3,Other cancer,1826.25
C84.4,Other cancer,1826.25
C84.5,Other cancer,1826.25
C84.6,Other cancer,1826.25
C84.7,Other cancer,1826.25
C84.8,Other cancer,1826.25
C84.9,Other cancer,1826.25
C84,Other cancer,1826.25
C85.0,Other cancer,1826.25
C85.1,Other cancer,1826.25
C85.2,Other cancer,1826.25
C85.3,Other cancer,1826.25
C85.4,Other cancer,1826.25
C85.5,Other cancer,1826.25
C85.6,Other cancer,1826.25
C85.7,Other cancer,1826.25
C85.8,Other cancer,1826.25
C85.9,Other cancer,1826.25
C85,Other cancer,1826.25
C86.0,Other cancer,1826.25
C86.1,Other cancer,1826.25
C86.2,Other cancer,1826.25
C86.3,Other cancer,1826.25
C86.4,Other cancer,1826.25
C86.5,Other cancer,1826.25
C86.6,Other cancer,1826.25
C86.7,Other cancer,1826.25
C86.8,Other cancer,1826.25
C86.9,Other cancer,1826.25
C86,Other cancer,1826.25
D45.0,Other cancer,1826.25
D45.1,Other cancer,1826.25
D45.2,Other cancer,1826.25
D45.3,Other cancer,1826.25
D45.4,Other cancer,1826.25
D45.5,Other cancer,1826.25
D45.6,Other cancer,1826.25
D45.7,Other cancer,1826.25
D45.8,Other cancer,1826.25
D45.9,Other cancer,1826.25
D45,Other cancer,1826.25
C22.1,Other cancer,1826.25
C24.0,Other cancer,1826.25
C24.1,Other cancer,1826.25
C24.2,Other cancer,1826.25
C24.3,Other cancer,1826.25
C24.4,Other cancer,1826.25
C24.5,Other cancer,1826.25
C24.6,Other cancer,1826.25
C24.7,Other cancer,1826.25
C24.8,Other cancer,1826.25
C24.9,Other cancer,1826.25
C24,Other cancer,1826.25
C67.0,Other cancer,1826.25
C67.1,Other cancer,1826.25
C67.2,Other cancer,1826.25
C67.3,Other cancer,1826.25
C67.4,Other cancer,1826.25
C67.5,Other cancer,1826.25
C67.6,Other cancer,1826.25
C67.7,Other cancer,1826.25
C67.8,Other cancer,1826.25
C67.9,Other cancer,1826.25
C67,Other cancer,1826.25
C22.0,Other cancer,1826.25
C22.2,Other cancer,1826.25
C22.3,Other cancer,1826.25
C22.4,Other cancer,1826.25
C22.7,Other cancer,1826.25
C22.9,Other cancer,1826.25
C45.0,Other cancer,1826.25
C45.1,Other cancer,1826.25
C45.2,Other cancer,1826.25
C45.3,Other cancer,1826.25
C45.4,Other cancer,1826.25
C45.5,Other cancer,1826.25
C45.6,Other cancer,1826.25
C45.7,Other cancer,1826.25
C45.8,Other cancer,1826.25
C45.9,Other cancer,1826.25
C45,Other cancer,1826.25
C15.0,Other cancer,1826.25
C15.1,Other cancer,1826.25
C15.2,Other cancer,1826.25
C15.3,Other cancer,1826.25
C15.4,Other cancer,1826.25
C15.5,Other cancer,1826.25
C15.6,Other cancer,1826.25
C15.7,Other cancer,1826.25
